Project item,Start Date,End Date,Level
Preparation & Paperwork,2025-12-01,2026-03-01,1
Planning,2025-12-01,2026-03-01,2
HLBRD and requirement,2025-12-01,2026-03-01,2
Study and POC,2025-12-01,2026-03-01,2
PIR và DAB,2025-12-01,2026-03-01,2
Wave 1,2026-03-01,2026-06-01,1
Các quy trình Trade Finance và một số quy trình của khách hàng SME,2026-03-01,2026-06-01,2
Wave 2,2026-06-01,2026-10-01,1
Các quy trình còn lại của SME và các quy trình của CIB/CMB,2026-06-01,2026-10-01,2
Wave 3,2026-10-01,2027-01-01,1
Các quy trình Kiểm Soát Sau Vay và Onboarding và các quy trình còn lại,2026-10-01,2027-01-01,2
Closure,2027-01-01,2027-02-01,1
Monitoring and Turning,2027-01-01,2027-02-01,2
